date,new_confirmed,new_deaths
2020-06-01,1598,52
2020-06-02,6999,327
2020-06-03,5188,282
2020-06-04,5717,285
2020-06-05,5365,281
2020-06-06,5984,216
2020-06-07,2524,87
2020-06-08,1520,43
2020-06-09,5545,334
2020-06-10,6178,340
2020-06-11,6204,283
2020-06-12,5380,223
2020-06-13,4975,213
2020-06-14,5327,113
2020-06-15,3258,73
2020-06-16,8825,365
2020-06-17,1232,389
2020-06-18,1111,325
2020-06-19,19030,386
2020-06-20,4135,262
2020-06-21,3392,94
2020-06-22,2788,46
2020-06-23,7502,434
2020-06-24,9347,284
2020-06-25,9765,407
2020-06-26,9921,207
2020-06-27,7073,297
2020-06-28,6156,75
2020-06-29,3408,60
2020-06-30,6235,365
2020-07-01,8555,267
2020-07-02,12244,321
2020-07-03,8338,343
2020-07-04,2013,302
2020-07-05,7649,82
2020-07-06,2891,56
2020-07-07,9638,341
2020-07-08,8657,313
2020-07-09,8350,330
2020-07-10,9395,324
2020-07-11,7780,260
2020-07-12,5107,146
2020-07-13,2610,59
2020-07-14,12000,417
2020-07-15,6569,316
2020-07-16,8872,398
2020-07-17,5367,339
2020-07-18,4612,270
2020-07-19,3022,85
2020-07-20,1385,56
2020-07-21,6235,383
2020-07-22,16777,361
2020-07-23,12561,362
2020-07-24,11211,312
2020-07-25,16263,311
2020-07-26,4501,89
2020-07-27,3672,70
2020-07-28,12647,383
2020-07-29,13896,330
2020-07-30,14809,321
2020-07-31,13298,287
2020-08-01,10014,239
2020-08-02,6367,81
2020-08-03,1533,48
2020-08-04,15371,337
2020-08-05,9676,407
2020-08-06,13405,339
2020-08-07,9709,287
2020-08-08,13352,281
2020-08-09,5395,98
2020-08-10,1289,37
2020-08-11,11147,420
2020-08-12,15619,298
2020-08-13,19274,455
2020-08-14,11667,289
2020-08-15,11408,167
2020-08-16,1963,72
2020-08-17,3172,47
2020-08-18,8865,416
2020-08-19,9847,276
2020-08-20,9451,314
2020-08-21,5132,250
2020-08-22,13284,237
2020-08-23,4885,75
2020-08-24,2351,38
2020-08-25,9190,407
2020-08-26,10465,282
2020-08-27,8318,221
2020-08-28,11756,279
2020-08-29,5213,250
2020-08-30,1982,34
2020-08-31,938,36
2020-09-01,10033,361
2020-09-02,11956,298
2020-09-03,11647,232
2020-09-04,7038,186
2020-09-05,8069,222
2020-09-06,2637,40
2020-09-07,1608,24
2020-09-08,1453,53
2020-09-09,7793,391
2020-09-10,8178,283
2020-09-11,8055,234
2020-09-12,7881,229
2020-09-13,1567,39
2020-09-14,1092,36
2020-09-15,7922,321
2020-09-16,8157,290
2020-09-17,7393,219
2020-09-18,7711,206
2020-09-19,7141,249
2020-09-20,3627,25
2020-09-21,2032,32
2020-09-22,8090,282
2020-09-23,6551,226
2020-09-24,6267,185
2020-09-25,6681,200
2020-09-26,5967,186
2020-09-27,1349,45
2020-09-28,905,17
2020-09-29,6377,266
2020-09-30,6109,231
2020-10-01,6097,182
2020-10-02,5608,152
2020-10-03,6096,180
2020-10-04,473,42
2020-10-05,677,42
2020-10-06,6260,270
2020-10-07,5916,179
2020-10-08,5649,215
2020-10-09,5786,184
2020-10-10,6626,155
2020-10-11,2844,33
2020-10-12,684,23
2020-10-13,685,35
2020-10-14,6031,227
2020-10-15,6553,149
2020-10-16,5627,180
2020-10-17,5394,122
2020-10-18,968,28
2020-10-19,437,15
2020-10-20,4923,211
2020-10-21,4299,125
2020-10-22,3678,111
2020-10-23,6702,126
2020-10-24,5614,118
2020-10-25,2725,21
2020-10-26,863,6
2020-10-27,5364,132
2020-10-28,5375,122
2020-10-29,5278,112
2020-10-30,4928,136
2020-10-31,2339,56
2020-11-01,1020,20
2020-11-02,648,15
2020-11-03,749,18
2020-11-04,4755,185
2020-11-05,2637,168
2020-11-06,0,0
2020-11-07,0,0
2020-11-08,0,0
2020-11-09,0,0
2020-11-10,21515,0
2020-11-11,3421,190
2020-11-12,5780,295
2020-11-13,6130,0
2020-11-14,4640,347
2020-11-15,1218,15
2020-11-16,737,12
2020-11-17,8698,173
2020-11-18,6421,178
2020-11-19,6794,147
2020-11-20,9058,105
2020-11-21,5087,77
2020-11-22,4153,11
2020-11-23,1037,9
2020-11-24,5219,179
2020-11-25,8900,146
2020-11-26,4523,172
2020-11-27,4320,129
2020-11-28,4507,146
2020-11-29,2379,28
2020-11-30,1180,19
2020-12-01,8937,195
2020-12-02,9114,166
2020-12-03,8208,181
2020-12-04,8237,151
2020-12-05,8938,181
2020-12-06,2675,46
2020-12-07,1116,25
2020-12-08,7923,242
2020-12-09,9784,179
2020-12-10,9786,200
2020-12-11,8791,141
2020-12-12,8601,169
2020-12-13,940,47
2020-12-14,2313,32
2020-12-15,4412,232
2020-12-16,0,0
2020-12-17,20303,399
2020-12-18,9922,197
2020-12-19,12447,151
2020-12-20,0,0
2020-12-21,3943,107
2020-12-22,10714,259
2020-12-23,10383,181
2020-12-24,9351,182
2020-12-25,3596,37
2020-12-26,1253,13
2020-12-27,2836,55
2020-12-28,1576,39
2020-12-29,12477,293
2020-12-30,11849,282
2020-12-31,10219,240
2021-01-01,3894,58
2021-01-02,1762,33
2021-01-03,3469,37
2021-01-04,2248,43
2021-01-05,12881,334
2021-01-06,14534,289
2021-01-07,14073,257
2021-01-08,13794,261
2021-01-09,11561,269
2021-01-10,5619,53
2021-01-11,3010,28
2021-01-12,12702,283
2021-01-13,15275,323
2021-01-14,13710,304
2021-01-15,15016,311
2021-01-16,13774,285
2021-01-17,5720,60
2021-01-18,2933,42
2021-01-19,15953,331
2021-01-20,14411,334
2021-01-21,12118,286
2021-01-22,9005,254
2021-01-23,14596,231
2021-01-24,5072,79
2021-01-25,2867,54
2021-01-26,12959,282
2021-01-27,16041,332
2021-01-28,14776,311
2021-01-29,13887,241
2021-01-30,13067,232
2021-01-31,4344,80
2021-02-01,2354,56
2021-02-02,14297,365
2021-02-03,12990,249
2021-02-04,13932,293
2021-02-05,12222,327
2021-02-06,11923,221
2021-02-07,4248,69
2021-02-08,2442,49
2021-02-09,13201,424
2021-02-10,13825,332
2021-02-11,11167,323
2021-02-12,11605,229
2021-02-13,9837,220
2021-02-14,2187,75
2021-02-15,2316,38
2021-02-16,11496,398
2021-02-17,11302,258
2021-02-18,10747,280
2021-02-19,11105,259
2021-02-20,10859,244
2021-02-21,4504,56
2021-02-22,2550,43
2021-02-23,12077,357
2021-02-24,12086,329
2021-02-25,11889,345
2021-02-26,11596,256
2021-02-27,11142,299
2021-02-28,4361,65
2021-03-01,3071,53
2021-03-02,10168,468
2021-03-03,13749,367
2021-03-04,12236,313
2021-03-05,13072,370
2021-03-06,13763,353
2021-03-07,6051,46
2021-03-08,4224,121
2021-03-09,16058,517
2021-03-10,15541,469
2021-03-11,14505,440
2021-03-12,15720,521
2021-03-13,15344,434
2021-03-14,7853,158
2021-03-15,5259,100
2021-03-16,17684,679
2021-03-17,17942,617
2021-03-18,17492,659
2021-03-19,18673,620
2021-03-20,18028,616
2021-03-21,8265,144
2021-03-22,4775,44
2021-03-23,20942,1021
2021-03-24,20395,281
2021-03-25,18447,599
2021-03-26,21489,1193
2021-03-27,18124,1051
2021-03-28,9602,244
2021-03-29,5220,292
2021-03-30,21360,1209
2021-03-31,23169,1160
2021-04-01,26567,1082
2021-04-02,16762,818
2021-04-03,7026,198
2021-04-04,7196,270
2021-04-05,4647,145
2021-04-06,22794,1389
2021-04-07,21521,889
2021-04-08,21004,1299
2021-04-09,20701,1008
2021-04-10,17311,657
2021-04-11,8156,510
2021-04-12,5310,181
2021-04-13,18397,1282
2021-04-14,18790,1095
2021-04-15,18067,1060
2021-04-16,17979,791
2021-04-17,17746,771
2021-04-18,6394,253
2021-04-19,4083,178
2021-04-20,19060,1122
2021-04-21,17123,977
2021-04-22,7267,183
2021-04-23,17812,863
2021-04-24,16271,875
2021-04-25,6488,145
2021-04-26,3912,105
2021-04-27,17992,1044
2021-04-28,17013,814
2021-04-29,14920,876
2021-04-30,15551,659
2021-05-01,14335,750
2021-05-02,5323,117
2021-05-03,3149,114
2021-05-04,15464,849
2021-05-05,14230,689
2021-05-06,13470,696
2021-05-07,14502,583
2021-05-08,13100,660
2021-05-09,5785,150
2021-05-10,3183,55
2021-05-11,16318,806
2021-05-12,15672,696
2021-05-13,15649,578
2021-05-14,15915,559
2021-05-15,15486,502
2021-05-16,7554,224
2021-05-17,4001,76
2021-05-18,15779,810
2021-05-19,16788,747
2021-05-20,17936,585
2021-05-21,16511,580
2021-05-22,16736,480
2021-05-23,7510,117
2021-05-24,4622,63
2021-05-25,17477,898
2021-05-26,16671,666
2021-05-27,12782,609
2021-05-28,1583,703
2021-05-29,13653,570
2021-05-30,11037,181
2021-05-31,6113,70
2021-06-01,19466,836
2021-06-02,23122,717
2021-06-03,19733,514
2021-06-04,3898,33
2021-06-05,16939,718
2021-06-06,9959,212
2021-06-07,5074,138
2021-06-08,8022,767
2021-06-09,4192,651
2021-06-10,23033,733
2021-06-11,22875,651
2021-06-12,21221,543
2021-06-13,9272,234
2021-06-14,5309,92
2021-06-15,23227,897
2021-06-16,22582,795
2021-06-17,15054,619
2021-06-18,27706,714
2021-06-19,20483,722
2021-06-20,9582,200
2021-06-21,4854,98
2021-06-22,23097,843
2021-06-23,19508,724
2021-06-24,17951,781
2021-06-25,20994,772
2021-06-26,18932,538
2021-06-27,7965,134
2021-06-28,4285,62
2021-06-29,19208,825
2021-06-30,7762,744
2021-07-01,15943,641
2021-07-02,19467,599
2021-07-03,16650,532
2021-07-04,6451,156
2021-07-05,4231,66
2021-07-06,19132,714
2021-07-07,14889,546
2021-07-08,14453,543
2021-07-09,14712,482
2021-07-10,7684,105
2021-07-11,5218,75
2021-07-12,3122,65
2021-07-13,10546,640
2021-07-14,16237,519
2021-07-15,12196,537
2021-07-16,11475,419
2021-07-17,17095,448
2021-07-18,2783,35
2021-07-19,3144,97
2021-07-20,4798,590
2021-07-21,18435,483
2021-07-22,13093,493
2021-07-23,12086,418
2021-07-24,5896,327
2021-07-25,3994,25
2021-07-26,2471,37
2021-07-27,11877,467
2021-07-28,11636,361
2021-07-29,11313,335
2021-07-30,10103,266
2021-07-31,9390,294
2021-08-01,3873,43
2021-08-02,1939,20
2021-08-03,9942,405
2021-08-04,10490,406
2021-08-05,10099,265
2021-08-06,10557,293
2021-08-07,8973,249
2021-08-08,3726,78
2021-08-09,1798,54
2021-08-10,10455,468
2021-08-11,8701,387
2021-08-12,9244,294
2021-08-13,8898,241
2021-08-14,8024,329
2021-08-15,3906,60
2021-08-16,2048,21
2021-08-17,8607,526
2021-08-18,8317,336
2021-08-19,8001,281
2021-08-20,7111,261
2021-08-21,6844,172
2021-08-22,3190,31
2021-08-23,1942,27
2021-08-24,8349,267
2021-08-25,6698,257
2021-08-26,6836,245
2021-08-27,7635,304
2021-08-28,6403,183
2021-08-29,3042,23
2021-08-30,1808,36
2021-08-31,7360,278
2021-09-01,6454,179
2021-09-02,6120,164
2021-09-03,6714,169
2021-09-04,6471,178
2021-09-05,2016,23
2021-09-06,1534,18
2021-09-07,3156,28
2021-09-08,2080,15
2021-09-09,951,218
2021-09-10,671,192
2021-09-11,778,178
2021-09-12,678,38
2021-09-13,337,22
2021-09-14,881,186
2021-09-15,986,197
2021-09-16,22678,170
2021-09-17,23586,133
2021-09-18,1448,135
2021-09-19,307,20
2021-09-20,471,5
2021-09-21,1831,191
2021-09-22,1826,200
2021-09-23,1932,193
2021-09-24,2198,215
2021-09-25,1760,175
2021-09-26,383,31
2021-09-27,400,18
2021-09-28,1791,253
2021-09-29,1460,241
2021-09-30,1550,189
2021-10-01,1616,143
2021-10-02,1313,97
2021-10-03,477,14
2021-10-04,205,22
2021-10-05,3765,143
2021-10-06,1679,172
2021-10-07,1513,139
2021-10-08,1439,90
2021-10-09,4724,98
2021-10-10,518,28
2021-10-11,399,33
2021-10-12,410,37
2021-10-13,226,9
2021-10-14,1930,103
2021-10-15,1685,79
2021-10-16,1448,90
2021-10-17,369,19
2021-10-18,158,3
2021-10-19,1296,81
2021-10-20,1748,87
2021-10-21,1625,89
2021-10-22,2229,85
2021-10-23,1833,69
2021-10-24,270,4
2021-10-25,209,1
2021-10-26,1716,78
2021-10-27,1634,59
2021-10-28,1290,116
2021-10-29,987,116
2021-10-30,684,61
2021-10-31,550,27
2021-11-01,175,17
2021-11-02,738,62
2021-11-03,766,17
2021-11-04,1648,124
2021-11-05,1471,115
2021-11-06,1307,179
2021-11-07,700,11
2021-11-08,359,0
2021-11-09,946,2
2021-11-10,1558,9
2021-11-11,1847,1
2021-11-12,2671,414
2021-11-13,1692,105
2021-11-14,469,1
2021-11-15,166,7
2021-11-16,333,1
2021-11-17,1970,147
2021-11-18,1935,85
2021-11-19,2208,62
2021-11-20,1154,99
2021-11-21,787,12
2021-11-22,219,5
2021-11-23,1524,94
2021-11-24,1195,68
2021-11-25,1210,116
2021-11-26,1326,124
2021-11-27,935,114
2021-11-28,457,9
2021-11-29,169,4
2021-11-30,1093,71
2021-12-01,1086,82
2021-12-02,1387,54
2021-12-03,1034,66
2021-12-04,977,69
2021-12-05,824,14
2021-12-06,213,7
2021-12-07,1316,111
2021-12-08,1287,91
2021-12-09,1237,67
2021-12-10,1086,53
2021-12-11,0,0
2021-12-12,0,0
2021-12-13,0,0
2021-12-14,0,0
2021-12-15,0,0
2021-12-16,0,0
2021-12-17,490,259
2021-12-18,102,51
2021-12-19,0,0
2021-12-20,0,0
2021-12-21,0,0
2021-12-22,52,47
2021-12-23,69,20
2021-12-24,37,27
2021-12-25,13,1
2021-12-26,0,0
2021-12-27,0,0
2021-12-28,123,31
2021-12-29,0,0
2021-12-30,4573,59
2021-12-31,1097,19
2022-01-01,361,8
2022-01-02,112,3
2022-01-03,164,0
2022-01-04,1944,26
2022-01-05,2962,35
2022-01-06,2831,34
2022-01-07,2917,30
2022-01-08,3558,23
2022-01-09,2233,8
2022-01-10,919,12
2022-01-11,4359,36
2022-01-12,4585,44
2022-01-13,5876,53
2022-01-14,8472,100
2022-01-15,744,90
2022-01-16,2371,22
2022-01-17,1330,12
2022-01-18,11409,117
2022-01-19,10266,139
2022-01-20,10545,168
2022-01-21,11159,145
2022-01-22,12617,124
2022-01-23,5148,59
2022-01-24,2709,58
2022-01-25,13217,227
2022-01-26,13184,172
2022-01-27,17021,259
2022-01-28,14896,285
2022-01-29,14343,323
2022-01-30,7746,37
2022-01-31,2609,100
2022-02-01,17130,206
2022-02-02,1096,363
2022-02-03,37611,349
2022-02-04,18535,370
2022-02-05,17066,294
2022-02-06,5351,53
2022-02-07,3585,26
2022-02-08,15696,445
2022-02-09,17464,482
2022-02-10,19046,297
2022-02-11,20598,317
2022-02-12,15964,285
2022-02-13,6813,48
2022-02-14,4146,28
2022-02-15,15677,251
2022-02-16,17801,397
2022-02-17,15995,352
2022-02-18,14809,280
2022-02-19,16249,337
2022-02-20,6424,26
2022-02-21,2470,23
2022-02-22,15999,310
2022-02-23,15427,298
2022-02-24,15228,303
2022-02-25,14764,211
2022-02-26,11290,211
2022-02-27,4865,7
2022-02-28,1639,9
2022-03-01,2959,81
2022-03-02,2978,29
2022-03-03,10193,193
2022-03-04,11868,198
2022-03-05,12143,242
2022-03-06,3483,13
2022-03-07,1184,7
2022-03-08,12404,189
2022-03-09,13105,183
2022-03-10,12775,211
2022-03-11,12183,103
2022-03-12,10967,105
2022-03-13,5043,7
2022-03-14,1306,26
2022-03-15,11965,63
2022-03-16,8815,139
2022-03-17,9026,125
2022-03-18,9565,104
2022-03-19,7651,101
2022-03-20,5299,7
2022-03-21,1472,10
2022-03-22,9782,78
2022-03-23,9364,97
2022-03-24,8953,112
2022-03-25,9300,91
2022-03-26,7177,61
2022-03-27,3961,3
